train_acc, dev_acc
0.027, 0.023
0.027, 0.023
0.036, 0.034
0.036, 0.034
0.058, 0.057
0.058, 0.057
0.058, 0.057
0.047, 0.045
0.049, 0.045
0.049, 0.045
0.049, 0.045
0.049, 0.045
0.049, 0.045
0.049, 0.045
0.049, 0.045
0.049, 0.045
0.049, 0.045
0.058, 0.057
0.058, 0.057
0.058, 0.057
0.058, 0.057
0.058, 0.057
0.058, 0.057
0.058, 0.057
0.058, 0.057
0.058, 0.057
0.058, 0.057
0.058, 0.057
0.058, 0.057
0.058, 0.057
0.058, 0.057
0.058, 0.057
0.058, 0.057
0.058, 0.057
0.058, 0.057
0.058, 0.057
0.058, 0.057
0.058, 0.057
0.058, 0.057
0.058, 0.057
0.058, 0.057
0.058, 0.057
0.058, 0.057
0.058, 0.057
0.058, 0.057
0.058, 0.057
0.058, 0.057
0.058, 0.057
0.058, 0.057
0.058, 0.057
0.058, 0.057
0.058, 0.057
0.058, 0.057
0.058, 0.057
0.058, 0.057
0.058, 0.057
0.058, 0.057
0.058, 0.057
0.058, 0.057
0.058, 0.057
0.058, 0.057
0.058, 0.057
0.058, 0.057
0.058, 0.057
0.058, 0.057
0.058, 0.057
0.058, 0.057
0.058, 0.057
0.058, 0.057
0.058, 0.057
0.058, 0.057
0.058, 0.057
0.058, 0.057
0.058, 0.057
0.058, 0.057
0.058, 0.057
0.058, 0.057
0.058, 0.057
0.058, 0.057
0.058, 0.057
0.058, 0.057
0.058, 0.057
0.058, 0.057
0.058, 0.057
0.058, 0.057
0.058, 0.057
0.058, 0.057
0.058, 0.057
0.058, 0.057
0.058, 0.057
0.058, 0.057
0.058, 0.057
0.058, 0.057
0.058, 0.057
0.058, 0.057
0.058, 0.057
0.058, 0.057
0.058, 0.057
0.058, 0.057
0.058, 0.057
